id,gender,age,recency,frequency,amount,tau,treatment_rate,treatment,y0,y1,outcome
17746,f,50,18,6,11414,444,0.016662237643248663,0,11414,11858,11419
17747,m,18,11,6,11804,278,0.7390422992554926,0,11804,12082,11580
17748,m,23,8,2,8171,686,0.43419995550037455,1,8171,8857,8888
17749,f,36,4,8,13578,964,0.06175025969423663,0,13578,14542,13707
17750,f,26,10,6,11811,1005,0.5094268249644552,0,11811,12816,11613
17751,m,24,14,6,11417,843,0.6882123198584903,1,11417,12260,11458
17752,m,37,6,3,11115,1814,0.06431151029867943,0,11115,12929,11455
17753,f,18,12,4,9044,320,0.5672296830073152,1,9044,9364,9332
17754,m,38,6,3,10939,1795,0.0832788364794046,0,10939,12734,10682
17755,m,38,8,9,15076,444,0.031830046045433324,0,15076,15520,15187
17756,f,41,22,3,9717,1595,0.020874584295912213,0,9717,11312,9189
17757,m,35,2,7,13694,925,0.11862531826475495,0,13694,14619,13525
17758,m,39,12,7,13116,1045,0.02208027880381433,0,13116,14161,12112
17759,m,30,11,3,8891,1606,0.2678781961567991,0,8891,10497,9345
17760,m,18,10,0,2147,11,0.009041864578116102,0,2147,2158,1513
17761,m,25,12,7,13445,551,0.4788310096447104,1,13445,13996,14221
17762,f,28,12,5,12110,1146,0.469935074611348,0,12110,13256,11705
17763,f,27,10,7,13173,762,0.4093874859711918,0,13173,13935,13655
17764,m,23,7,8,13027,489,0.5433834766642295,1,13027,13516,14168
17765,m,25,14,6,11997,858,0.5977021853083181,1,11997,12855,13539
17766,m,37,5,5,11517,1708,0.08119589969199362,0,11517,13225,10591
17767,m,33,10,8,12239,1466,0.19737178358560287,0,12239,13705,12393
17768,f,21,12,9,13905,252,0.4969084026264964,0,13905,14157,13821
17769,m,36,4,8,14340,688,0.06739265319694446,0,14340,15028,14005
17770,m,32,11,12,16070,239,0.0841667801160936,1,16070,16309,16691
17771,m,18,3,1,8220,283,0.438655989897025,0,8220,8503,9435
17772,f,31,12,7,12210,1371,0.2868309630382606,1,12210,13581,14261
17773,m,36,9,6,11949,1599,0.07803032120206253,0,11949,13548,12048
17774,m,21,15,4,10470,588,0.7233382748565317,0,10470,11058,10672
17775,m,31,9,4,11073,1693,0.2847061456157309,0,11073,12766,11524
17776,m,20,6,2,6518,257,0.206451214234672,1,6518,6775,6470
17777,m,23,6,6,12595,560,0.6263143531788559,1,12595,13155,13097
17778,f,33,11,4,11134,1809,0.20004234036915414,0,11134,12943,11703
17779,f,44,7,4,9064,1158,0.0,0,9064,10222,8437
17780,m,35,12,3,9912,1999,0.09149498396336464,0,9912,11911,10110
17781,f,22,20,3,8750,648,0.5269733223926927,1,8750,9398,8314
17782,m,36,3,6,12136,1531,0.12347966405893912,0,12136,13667,11961
17783,f,29,9,8,12477,1129,0.35998756092756085,0,12477,13606,12404
17784,m,40,12,8,14274,612,0.04504628835191026,0,14274,14886,14633
17785,m,32,4,6,14044,752,0.1674202392664874,0,14044,14796,14581
17786,f,19,13,6,12018,326,0.6991569499640107,0,12018,12344,12314
17787,f,30,0,7,11137,1589,0.3439692137870613,0,11137,12726,10954
17788,m,30,12,4,11077,1601,0.3825672054965549,0,11077,12678,11381
17789,f,18,0,5,10780,323,0.7277820773430693,1,10780,11103,10372
17790,m,33,9,6,11494,1715,0.19379383645961148,0,11494,13209,12723
17791,m,54,6,3,10027,215,0.024082183014012933,0,10027,10242,9834
17792,m,25,6,1,7887,847,0.31208209582526225,1,7887,8734,8546
17793,m,18,8,7,11786,279,0.7147760106590397,1,11786,12065,12062
17794,f,25,10,1,5616,376,0.11661150332846175,0,5616,5992,5123
17795,m,53,11,6,10458,267,0.0,0,10458,10725,11990
17796,m,19,12,4,9607,408,0.6256506403399354,0,9607,10015,9445
17797,f,42,3,7,13112,854,0.0,0,13112,13966,13599
17798,m,23,22,3,9077,786,0.5474803221120884,0,9077,9863,8418
17799,f,33,4,7,12556,1346,0.21504299712821517,0,12556,13902,12136
17800,m,29,17,5,12119,1239,0.37615001332278486,0,12119,13358,11679
17801,f,21,23,4,10767,575,0.7052403319518956,1,10767,11342,11455
17802,m,20,19,6,12033,393,0.7119206840882296,1,12033,12426,12593
17803,f,41,9,4,11733,1347,0.040653412476505335,0,11733,13080,11590
17804,m,43,15,4,10392,1334,0.03450940097575715,0,10392,11726,10554
17805,m,33,13,9,13426,1005,0.16818331506748607,0,13426,14431,13544
17806,m,21,4,4,9880,596,0.6780846368145413,1,9880,10476,10318
17807,m,29,0,3,9312,1563,0.33600389723340707,0,9312,10875,9484
17808,m,28,13,8,11794,1228,0.4523448361392187,0,11794,13022,11182
17809,m,35,13,6,12037,1577,0.12929495721662893,0,12037,13614,11799
17810,m,29,9,3,10838,1535,0.39496557655638653,1,10838,12373,12992
17811,m,25,14,4,11316,975,0.5928959700736683,0,11316,12291,11661
17812,f,25,11,10,15135,245,0.27253480878471265,0,15135,15380,14878
17813,f,28,18,7,13118,852,0.3842809695803343,0,13118,13970,12117
17814,m,45,0,6,13832,471,0.003960114794995551,0,13832,14303,13547
17815,m,48,25,6,11504,618,0.0,0,11504,12122,10947
17816,f,35,7,5,10913,1903,0.12033688732376246,1,10913,12816,12795
17817,m,33,6,7,14183,728,0.15852620736559608,0,14183,14911,14184
17818,m,22,20,9,13941,293,0.488930867577568,0,13941,14234,13026
17819,m,27,4,4,10091,1346,0.5056401520727885,1,10091,11437,11785
17820,m,30,16,8,14216,629,0.22691285476392575,0,14216,14845,14307
17821,m,40,20,10,14672,502,0.0024087295661371667,0,14672,15174,14757
17822,f,28,15,2,7936,1174,0.2661409653118918,0,7936,9110,8262
17823,m,23,17,4,9700,818,0.6452332504719405,1,9700,10518,10637
17824,m,29,15,8,13970,658,0.27670126805132256,0,13970,14628,13938
17825,f,40,14,2,9134,1648,0.042496088272568004,0,9134,10782,7998
17826,m,37,3,3,11410,1739,0.10036395447175808,0,11410,13149,11682
17827,f,33,13,10,14718,557,0.13998220528683242,0,14718,15275,14711
17828,m,30,6,8,13443,877,0.25496705791127683,0,13443,14320,13343
17829,f,24,14,2,9784,945,0.5872055581253911,1,9784,10729,11057
17830,m,28,8,2,9577,1465,0.3799893392714411,1,9577,11042,10199
17831,f,25,20,4,10725,1045,0.6293563659975059,0,10725,11770,11217
17832,m,22,5,5,9838,703,0.648315913494329,1,9838,10541,10278
17833,m,23,12,4,9748,819,0.5943113426199452,1,9748,10567,10424
17834,f,28,10,4,9791,1475,0.44098549736486975,1,9791,11266,10471
17835,m,35,19,8,13887,853,0.07572372010122508,0,13887,14740,14450
17836,f,31,10,5,11222,1661,0.2853586470153415,0,11222,12883,11044
17837,m,29,5,9,15725,254,0.13109150782192874,0,15725,15979,16874
17838,m,34,4,3,8583,1785,0.10718539732647409,0,8583,10368,9242
17839,m,19,7,6,10734,398,0.7498102801243632,1,10734,11132,11246
17840,m,18,4,4,10348,333,0.7034690141851805,0,10348,10681,10879
17841,f,18,14,2,8547,300,0.47761068417635727,1,8547,8847,9447
17842,f,35,7,9,12127,1544,0.1232977451809298,0,12127,13671,12207
17843,f,47,2,5,10176,820,0.007355351550921442,0,10176,10996,11321
17844,f,27,10,3,9520,1332,0.4203504851536176,0,9520,10852,9896
17845,m,36,0,6,13764,893,0.04710247044207532,0,13764,14657,13243
17846,m,18,17,5,12654,225,0.686837849262893,0,12654,12879,14028
17847,m,18,7,4,9755,335,0.6065029621161966,1,9755,10090,10191
17848,f,30,20,5,11492,1507,0.3195423160842453,0,11492,12999,10600
17849,f,45,15,3,9264,1049,0.008530415548327307,0,9264,10313,8684
17850,m,31,9,3,10486,1785,0.25931597332357936,0,10486,12271,10599
17851,m,18,16,3,10566,329,0.6924618581725781,1,10566,10895,10768
17852,m,25,0,4,11725,909,0.6162714798161832,1,11725,12634,11351
17853,f,18,9,6,11676,285,0.7357121892444933,1,11676,11961,12601
17854,f,33,9,6,11730,1643,0.18007721323884293,0,11730,13373,11437
17855,f,21,7,7,12617,404,0.6761048992566635,1,12617,13021,13021
17856,f,41,4,1,8741,1472,0.022706463476995745,0,8741,10213,9638
17857,f,20,11,4,9920,498,0.688461651765867,0,9920,10418,10192
17858,f,21,15,7,10976,563,0.7432794193383548,1,10976,11539,11773
17859,m,46,11,5,11437,841,0.0,0,11437,12278,12018
17860,f,18,11,4,9877,335,0.6543266534754122,1,9877,10212,10335
17861,m,42,7,7,11613,1272,0.004992480197830544,0,11613,12885,10933
17862,m,21,10,5,11385,533,0.7147331663542015,0,11385,11918,11699
17863,m,20,2,4,10735,482,0.753594884023466,1,10735,11217,11205
17864,m,39,6,8,15571,317,0.0,0,15571,15888,15758
17865,m,30,1,6,11194,1577,0.3262243704359333,0,11194,12771,11251
17866,m,19,10,6,12436,293,0.7371766431372683,0,12436,12729,12732
17867,f,24,16,6,12982,572,0.572796101976269,1,12982,13554,14101
17868,f,18,7,3,9658,334,0.6007462121870363,0,9658,9992,9963
17869,m,18,5,4,9222,325,0.5491303844705696,1,9222,9547,10200
17870,f,33,9,8,12853,1230,0.19665438590347054,0,12853,14083,12424
17871,m,22,10,4,10503,693,0.6947704038720364,0,10503,11196,10976
17872,f,44,8,3,10114,1211,0.0,0,10114,11325,9318
17873,f,22,6,4,9913,704,0.6349526777627479,1,9913,10617,11274
17874,f,18,0,2,9240,326,0.5444913698718429,0,9240,9566,8913
17875,f,28,10,1,6879,868,0.16387196349802258,0,6879,7747,6691
17876,m,24,17,5,9661,942,0.5328788141130244,1,9661,10603,11528
17877,m,25,8,3,9455,1062,0.5324140580331607,1,9455,10517,10160
17878,f,20,5,1,7212,326,0.3026831856789858,0,7212,7538,6762
17879,m,31,9,5,11988,1445,0.2924803333580203,0,11988,13433,13109
17880,m,27,6,6,12570,925,0.4834868602995932,0,12570,13495,12280
17881,f,41,12,15,18898,19,0.043954210538339936,0,18898,18917,17434
17882,f,51,6,6,11352,370,0.0,0,11352,11722,11503
17883,m,23,23,7,12358,599,0.6775999352257129,0,12358,12957,12282
17884,m,28,11,5,12958,900,0.3842382147344686,1,12958,13858,13338
17885,f,54,2,7,11136,199,0.0,0,11136,11335,10879
17886,m,18,12,4,10080,335,0.6617746929249261,0,10080,10415,10360
17887,m,45,3,1,8561,966,0.0,0,8561,9527,8128
17888,m,37,8,9,15576,340,0.03317245036026744,1,15576,15916,15706
17889,m,18,3,2,8672,305,0.46575380780397047,1,8672,8977,8281
17890,f,24,0,5,11982,756,0.6401446420681409,1,11982,12738,12146
17891,f,49,19,8,12816,380,0.01392236688060286,0,12816,13196,12348
17892,f,34,6,6,13744,901,0.11285386207585771,0,13744,14645,13423
17893,m,24,6,2,7408,657,0.29040859925827656,0,7408,8065,7606
17894,f,20,4,4,9254,484,0.5976778559948211,1,9254,9738,8985
17895,f,18,7,6,12051,264,0.6954868751311081,1,12051,12315,12573
17896,m,33,12,7,12727,1279,0.18437857962102577,0,12727,14006,12398
17897,m,41,4,6,12757,1040,0.022200919594044948,0,12757,13797,11304
17898,m,36,6,5,12185,1513,0.08801502566223962,0,12185,13698,11468
17899,f,29,8,8,15281,334,0.1318952202231319,0,15281,15615,15284
17900,f,33,0,2,9251,1895,0.1772361077170759,0,9251,11146,9221
17901,f,27,15,5,10965,1275,0.4905918643684225,1,10965,12240,12068
17902,f,36,15,9,15080,466,0.06756253055145511,1,15080,15546,15666
17903,f,18,9,11,13987,137,0.4582493900686372,1,13987,14124,15283
17904,f,18,14,5,11777,280,0.7031334668767236,1,11777,12057,12764
17905,f,23,17,7,12797,527,0.6294810894573668,1,12797,13324,13297
17906,f,18,0,6,12062,263,0.7128220556872613,1,12062,12325,12791
17907,m,46,0,8,12231,713,0.0,0,12231,12944,11992
17908,m,26,12,2,6570,637,0.16881816457389523,1,6570,7207,7356
17909,f,29,7,5,10257,1594,0.37569882060081683,0,10257,11851,10604
17910,m,39,5,5,13395,944,0.0538807608558388,0,13395,14339,12813
17911,m,23,15,7,11706,695,0.688159985939228,1,11706,12401,12626
17912,f,18,17,5,11614,289,0.7465121050601895,1,11614,11903,11728
17913,f,21,18,6,11345,537,0.7430045155543342,1,11345,11882,12189
17914,m,24,9,5,11149,877,0.6612138107440776,1,11149,12026,11473
17915,m,32,18,5,11671,1611,0.2204607324596927,0,11671,13282,10747
17916,f,20,5,4,11759,417,0.7206158878983021,0,11759,12176,11176
17917,f,28,4,5,12093,1150,0.4426127329650022,0,12093,13243,12495
17918,f,30,9,5,11993,1365,0.34689018526010684,0,11993,13358,12293
17919,f,27,9,3,10924,1280,0.49480836701381226,1,10924,12204,11707
17920,m,46,15,6,11938,764,0.0,0,11938,12702,12363
17921,f,34,12,1,8397,1732,0.0961176890298261,0,8397,10129,7524
17922,f,31,3,3,10727,1755,0.298457916449289,1,10727,12482,12029
17923,m,41,8,6,13372,842,0.0,0,13372,14214,13482
17924,f,35,11,4,10815,1922,0.10075279643295215,0,10815,12737,10828
17925,m,18,12,3,8796,311,0.5205447482665544,0,8796,9107,8234
17926,m,43,5,4,10200,1343,0.0,0,10200,11543,10666
17927,m,19,14,5,10306,409,0.7497351406569,1,10306,10715,10386
17928,m,30,11,8,12894,1066,0.3112654847025907,0,12894,13960,13290
17929,f,20,1,4,10610,487,0.7053679036001246,0,10610,11097,9653
17930,f,33,9,3,9767,1946,0.1982834211063867,0,9767,11713,8320
17931,m,20,11,4,10668,485,0.7204091919431089,0,10668,11153,10555
17932,m,30,12,5,12085,1337,0.34831957011635717,0,12085,13422,10608
17933,f,38,17,4,10038,1891,0.06174694980882573,0,10038,11929,10254
17934,f,18,14,4,9147,323,0.582177914034804,1,9147,9470,8870
17935,f,20,20,9,13574,242,0.5832936478496671,1,13574,13816,14215
17936,f,18,16,6,11004,316,0.6827901690393056,0,11004,11320,10167
17937,f,45,7,3,9225,1045,0.014490573832516554,0,9225,10270,8829
17938,f,28,6,8,15166,330,0.2338400801986076,1,15166,15496,15652
17939,m,27,11,5,10142,1345,0.4767745267365548,0,10142,11487,10462
17940,m,20,17,2,10050,498,0.6682634439705928,1,10050,10548,9817
17941,m,23,0,8,13639,389,0.5075601384208301,1,13639,14028,13952
17942,f,18,15,3,10078,335,0.6795952587200799,0,10078,10413,9651
17943,m,35,13,6,13309,1076,0.10794620603787765,0,13309,14385,12541
17944,m,20,8,6,12408,358,0.6980705844290637,1,12408,12766,12542
17945,m,30,12,7,14576,527,0.21098457669874818,1,14576,15103,15266
17946,m,33,6,5,10764,1884,0.2033149233067999,0,10764,12648,10822
17947,m,52,14,3,9661,334,0.0,0,9661,9995,9986
17948,f,18,7,2,7310,226,0.31545355200027425,1,7310,7536,7815
17949,f,31,10,7,11588,1566,0.2789158068632987,0,11588,13154,12329
17950,f,26,6,5,10878,1158,0.5689964562682498,0,10878,12036,11091
17951,m,18,17,8,14713,96,0.39911155381776636,1,14713,14809,15270
17952,f,55,10,10,14506,54,0.024029382324572857,0,14506,14560,14211
17953,m,19,7,3,11053,385,0.7649814385833235,1,11053,11438,10864
17954,m,30,2,5,13523,850,0.2598356406735587,0,13523,14373,12762
17955,m,29,11,1,9978,1601,0.37236777918785663,0,9978,11579,9426
17956,m,33,0,3,11688,1656,0.19347145254496328,0,11688,13344,11357
17957,m,68,12,5,12537,1,0.0,0,12537,12538,12968
17958,m,32,1,7,13437,970,0.16916016826405453,0,13437,14407,13974
17959,m,27,8,4,10900,1284,0.4993063261391777,0,10900,12184,10091
17960,f,33,11,7,13436,1001,0.16081337282169472,0,13436,14437,13756
17961,f,30,0,3,9882,1713,0.32590489978713183,0,9882,11595,9251
17962,f,40,17,6,12708,1130,0.04343690597236623,0,12708,13838,13033
17963,f,40,8,3,10739,1658,0.0004155215818977681,0,10739,12397,10089
17964,f,30,13,4,10401,1696,0.29385374302587197,0,10401,12097,10278
17965,m,36,7,1,6231,913,0.03958627069839545,0,6231,7144,6480
17966,f,44,17,4,11298,1100,0.0,0,11298,12398,11830
17967,m,30,15,3,9258,1666,0.26042523434421,1,9258,10924,10263
17968,f,40,5,4,10470,1690,0.05176484011482811,0,10470,12160,10159
17969,m,27,13,3,9629,1338,0.4263475891963383,0,9629,10967,10370
17970,m,34,14,4,10600,1944,0.1520503055709792,0,10600,12544,10834
17971,m,18,5,10,15195,73,0.3056238728928529,1,15195,15268,15186
17972,f,20,14,6,11703,422,0.7046836258848193,1,11703,12125,12761
17973,f,45,8,5,12825,686,0.0,0,12825,13511,12779
17974,m,32,22,8,13969,778,0.1580798884919813,0,13969,14747,14817
17975,m,29,4,3,9764,1597,0.34340416272740076,0,9764,11361,9798
17976,f,43,13,7,13385,705,0.015410034383991208,0,13385,14090,13364
17977,m,36,12,7,12069,1556,0.11307623342982409,0,12069,13625,12312
17978,m,29,11,1,7586,1167,0.21141391731315282,0,7586,8753,7881
17979,m,26,12,8,14310,426,0.35927622496233513,1,14310,14736,14321
17980,f,36,13,8,14762,555,0.06381247873197239,1,14762,15317,15388
17981,f,36,25,6,11327,1794,0.07649055658155712,0,11327,13121,11267
17982,f,33,14,9,13044,1154,0.1525886738059145,0,13044,14198,13290
17983,m,51,17,3,9361,403,0.00033522627172691163,0,9361,9764,9429
17984,m,22,0,4,11662,601,0.7021451517623095,1,11662,12263,12893
17985,m,34,15,4,11134,1843,0.15399922414428935,0,11134,12977,10784
17986,m,27,5,7,12258,1007,0.4901414404862696,0,12258,13265,12535
17987,m,24,9,8,12130,731,0.6680075915329627,0,12130,12861,11362
17988,m,26,13,1,6531,628,0.1604726311035271,1,6531,7159,7295
17989,m,33,18,5,11062,1826,0.19274661768221085,1,11062,12888,12296
17990,m,22,30,7,13518,350,0.5637562740739392,0,13518,13868,12437
17991,m,22,5,6,12901,437,0.6135212551386412,1,12901,13338,13293
17992,f,18,7,8,12083,262,0.7355284081864195,0,12083,12345,12711
17993,m,41,21,2,9625,1590,0.04053344270449517,0,9625,11215,9368
17994,m,33,10,2,9447,1921,0.17208581758415475,0,9447,11368,9364
17995,m,38,4,4,9930,1891,0.0699002202690204,0,9930,11821,10047
17996,m,20,2,4,10205,497,0.6781164523361858,1,10205,10702,10060
17997,f,33,14,8,14118,750,0.10615299575659262,0,14118,14868,13984
17998,m,32,13,4,11031,1777,0.21763246325036575,0,11031,12808,12081
17999,m,32,12,3,8407,1651,0.13578830119833704,0,8407,10058,7785
18000,m,26,0,3,9827,1211,0.49923723993672886,1,9827,11038,11369
18001,f,21,3,7,13183,336,0.618921671006898,1,13183,13519,14283
18002,m,34,20,2,10306,1975,0.1898229879208725,0,10306,12281,10920
18003,m,28,14,4,10138,1475,0.4239477260512944,1,10138,11613,11059
18004,f,28,10,5,11076,1381,0.44181740379271417,0,11076,12457,11531
18005,f,20,10,5,10918,474,0.7084720900699192,1,10918,11392,10642
18006,f,27,15,3,10019,1347,0.49901995170386493,0,10019,11366,9763
18007,m,42,22,4,11079,1380,0.021056193580335312,0,11079,12459,11877
18008,f,38,0,2,9486,1867,0.018870931604853647,0,9486,11353,9654
18009,m,32,15,6,11445,1676,0.2181343857683653,0,11445,13121,11467
18010,m,34,10,5,12118,1538,0.1860352485445446,1,12118,13656,14277
18011,m,18,11,5,10287,334,0.6729526830766405,1,10287,10621,10781
18012,m,49,10,4,10725,577,0.006033000708424262,0,10725,11302,10669
18013,m,51,11,4,12319,303,0.04038775751716767,0,12319,12622,11183
18014,m,19,14,4,8948,388,0.5557037174512718,0,8948,9336,8778
18015,f,27,10,5,11270,1226,0.5334510601713728,0,11270,12496,11278
18016,m,33,10,7,12024,1543,0.21627029198019385,0,12024,13567,11528
18017,m,34,15,3,10135,1984,0.1757490375096741,0,10135,12119,10417
18018,m,24,12,8,14381,321,0.39632685491160213,0,14381,14702,15095
18019,f,32,10,3,10099,1890,0.26624816586422184,1,10099,11989,11452
18020,f,35,11,4,10850,1915,0.1369767707209954,0,10850,12765,11617
18021,f,19,17,8,14301,145,0.4436386565244908,0,14301,14446,14430
18022,m,27,5,6,12566,926,0.4587533679275089,0,12566,13492,11149
18023,f,39,14,3,10798,1744,0.05911047163037389,0,10798,12542,10927
18024,m,42,13,6,13210,825,0.0,0,13210,14035,13090
18025,m,37,14,3,7456,1373,0.037765678735673464,0,7456,8829,7421
18026,m,37,15,3,9976,1951,0.059333741998966155,0,9976,11927,10261
18027,m,28,5,5,10597,1446,0.41016192861982204,1,10597,12043,12314
18028,m,28,12,5,10821,1419,0.45053763117034945,0,10821,12240,11170
18029,f,32,20,5,13038,1121,0.2001920594458762,0,13038,14159,13393
18030,f,22,12,3,9141,678,0.5683739981170689,0,9141,9819,9169
18031,m,28,12,4,12443,1052,0.42712790742229145,0,12443,13495,12095
18032,m,31,10,8,12486,1275,0.28290295704920093,0,12486,13761,12401
18033,m,45,5,7,12240,810,0.035399857853135624,0,12240,13050,10646
18034,f,50,4,4,11506,437,0.0,0,11506,11943,11287
18035,f,49,7,6,12120,461,0.0,0,12120,12581,12508
18036,m,19,15,5,11309,372,0.7591356972566757,1,11309,11681,11890
18037,f,44,23,6,12443,863,0.0,0,12443,13306,11816
18038,m,32,5,4,10756,1828,0.24876247031268764,0,10756,12584,10802
18039,m,24,0,7,12525,659,0.6065079320065417,1,12525,13184,13315
18040,f,27,7,4,10857,1289,0.5293270302530491,0,10857,12146,10534
18041,f,18,26,2,8655,305,0.4542971034624518,1,8655,8960,9262
18042,f,30,22,4,12273,1276,0.30617560259553717,0,12273,13549,11586
18043,m,38,5,12,15935,262,0.0199304607942103,0,15935,16197,15223
18044,f,19,7,3,8914,387,0.5748412077349052,1,8914,9301,8872
18045,m,22,11,4,9946,704,0.6892109950061692,1,9946,10650,10767
18046,m,27,14,8,14918,345,0.23846700604354754,0,14918,15263,15326
18047,m,46,12,6,13129,544,0.0,0,13129,13673,12898
18048,f,18,18,8,11319,303,0.683872714081612,1,11319,11622,10879
18049,m,36,14,3,8284,1697,0.05358585334376751,0,8284,9981,8950
18050,f,33,21,6,11738,1640,0.21999780887289647,0,11738,13378,11386
18051,m,35,12,7,13422,1032,0.10928926749155939,1,13422,14454,13803
18052,f,18,17,1,6598,178,0.14974724005154497,1,6598,6776,6595
18053,m,22,8,2,8829,655,0.5392358818221906,0,8829,9484,8355
18054,m,25,10,4,10437,1065,0.6028884671737628,1,10437,11502,11504
18055,m,18,12,4,11386,300,0.7424963259664191,1,11386,11686,11771
18056,m,49,11,1,8049,485,0.0,0,8049,8534,8203
18057,m,37,2,6,12627,1318,0.06794449947138768,0,12627,13945,12352
18058,m,40,1,3,11093,1598,0.06288674615813276,0,11093,12691,12103
18059,m,37,14,4,9499,1927,0.060723856252910664,0,9499,11426,9057
18060,m,18,27,6,11625,288,0.7192149461464858,0,11625,11913,11847
18061,m,18,17,4,10252,334,0.7302467323008213,1,10252,10586,11336
18062,f,41,16,6,13113,925,0.032859764189188304,0,13113,14038,13573
18063,m,18,13,5,9411,330,0.6173353789164887,1,9411,9741,9350
18064,f,34,10,3,9763,1982,0.12466238774202569,0,9763,11745,10222
18065,m,19,8,5,11392,368,0.7526720976224729,0,11392,11760,11018
18066,m,21,11,9,14279,212,0.4779485832039222,1,14279,14491,15130
18067,f,29,10,4,11850,1316,0.39526923787393264,1,11850,13166,13008
18068,f,18,5,3,9875,335,0.614123048131663,0,9875,10210,9693
18069,m,18,19,3,9135,323,0.587568977445515,1,9135,9458,9365
18070,m,31,12,5,12287,1344,0.2755452454493448,0,12287,13631,11719
18071,f,55,6,3,9476,167,0.0,0,9476,9643,8482
18072,f,37,10,2,9065,1864,0.05167856753481994,0,9065,10929,9155
18073,f,18,5,6,12417,240,0.6807975176905344,0,12417,12657,13442
18074,f,23,16,3,9500,812,0.5849064450276634,0,9500,10312,9851
18075,m,28,15,3,10128,1475,0.36840767351410336,1,10128,11603,11524
18076,f,30,7,6,13258,940,0.2934709289651006,0,13258,14198,12952
18077,f,21,7,0,3991,81,0.0567934845707721,0,3991,4072,4116
18078,m,42,3,5,12929,908,0.03170653977325476,0,12929,13837,13036
18079,f,23,13,2,10525,808,0.6801192054576847,1,10525,11333,11073
18080,f,31,12,8,14386,613,0.16768373693869765,0,14386,14999,14454
18081,m,47,12,6,12070,643,0.02443597033277119,0,12070,12713,13324
18082,m,28,3,6,12775,954,0.4049754054902046,0,12775,13729,12608
18083,f,51,7,8,14103,159,0.029264592983692616,0,14103,14262,13380
18084,m,34,14,2,9436,1956,0.11319802377960982,0,9436,11392,9652
18085,m,25,14,3,11003,1016,0.6462536671245063,0,11003,12019,11766
18086,f,27,9,9,12679,896,0.43496863790485096,0,12679,13575,12790
18087,m,24,4,2,9850,946,0.5735197110638983,1,9850,10796,10305
18088,m,18,11,3,10855,321,0.732567540462482,1,10855,11176,11302
18089,m,18,16,4,10639,327,0.7183715980015627,1,10639,10966,11209
18090,f,21,11,2,8832,554,0.5110084631501943,0,8832,9386,8164
18091,m,18,8,5,10738,325,0.7270317002092092,0,10738,11063,9895
18092,f,20,7,6,11859,409,0.7212994042125558,1,11859,12268,13054
18093,f,42,5,8,14520,468,0.0,0,14520,14988,15121
18094,m,25,0,5,11991,859,0.6299865418114639,1,11991,12850,12255
18095,f,46,11,3,10646,923,0.003729545283671423,0,10646,11569,10621
18096,m,24,5,7,13363,500,0.5284535411746598,1,13363,13863,14103
18097,f,39,19,2,9756,1807,0.033261073367448796,0,9756,11563,8983
18098,m,28,12,8,14348,509,0.25692563780696687,0,14348,14857,13358
18099,m,26,15,6,11298,1100,0.594122822242452,0,11298,12398,12630
18100,m,44,10,5,12546,839,0.01162507802517042,0,12546,13385,12689
18101,m,52,11,5,13240,185,0.0,0,13240,13425,13861
18102,m,26,14,4,10623,1184,0.5555971384241439,1,10623,11807,11349
18103,f,19,6,2,9505,406,0.6603113806185337,1,9505,9911,9708
18104,m,29,10,3,9018,1522,0.2935459228408418,0,9018,10540,9759
18105,m,33,18,2,8834,1815,0.12953540506908723,0,8834,10649,9445
18106,m,36,16,8,13293,1076,0.07109382117521228,0,13293,14369,13125
18107,f,31,1,4,12095,1410,0.28693522519520964,0,12095,13505,12507
18108,f,21,0,3,10888,569,0.7907436813299374,1,10888,11457,12536
18109,m,50,4,10,14798,136,0.017333668504464293,0,14798,14934,14095
18110,f,21,1,4,11404,532,0.7275580015730496,1,11404,11936,11175
18111,m,28,12,6,13800,654,0.31092673131295695,0,13800,14454,12842
18112,f,41,11,3,10030,1601,0.003923278137676525,0,10030,11631,10030
18113,f,20,10,7,12657,334,0.7243155893383274,0,12657,12991,13532
18114,m,30,12,6,13053,1011,0.2805183791150282,1,13053,14064,14021
18115,m,36,12,5,11039,1865,0.08716655100861799,0,11039,12904,10914
18116,m,32,13,4,10983,1787,0.2742756688421851,0,10983,12770,11180
18117,m,35,15,3,11946,1610,0.13919585479475616,0,11946,13556,11722
18118,m,27,17,5,11072,1259,0.48219324596970237,0,11072,12331,11560
18119,f,33,14,5,12506,1365,0.1753165825030648,0,12506,13871,13180
18120,f,23,4,5,11777,685,0.6886605151920606,0,11777,12462,11551
18121,m,18,18,10,14049,133,0.46421075958211333,0,14049,14182,14439
18122,m,23,19,4,10678,799,0.6760087070030507,1,10678,11477,10481
18123,m,30,10,7,14657,506,0.19142839486897814,1,14657,15163,15255
18124,m,36,5,4,11469,1754,0.13330645353783394,0,11469,13223,11485
18125,f,42,8,9,15131,336,0.0,0,15131,15467,14771
18126,f,46,7,6,13949,393,0.011570080005896143,0,13949,14342,14537
18127,m,18,22,5,10695,326,0.7170992621530294,1,10695,11021,11146
18128,f,20,3,4,9338,487,0.6058462609233295,0,9338,9825,10280
18129,f,25,17,5,13013,645,0.547421327958267,0,13013,13658,12909
18130,m,33,20,5,11861,1600,0.18560489312984657,0,11861,13461,11809
18131,f,29,18,7,13846,695,0.30052380068781587,0,13846,14541,13193
18132,m,37,12,8,13197,1094,0.040989760487093234,0,13197,14291,14362
